# UTC Date    TIME   JUL    SEC
# YY  MM  DD  TIME   Day    Day       P>1          P>5          P>10         P>30         P>50        P>100
#===============================================================================================================
2024  02  08  2355  60348  86100  2.37100e+01  2.23006e-01  2.14006e-01  1.61006e-01  1.56006e-01  1.55006e-01
2024  02  09  0000  60349      0  2.70397e+01  2.10673e-01  2.02673e-01  1.93673e-01  1.92673e-01  1.91673e-01
2024  02  09  0005  60349    300  1.98243e+01  2.75340e-01  2.50340e-01  2.08340e-01  2.05340e-01  2.01340e-01
2024  02  09  0010  60349    600  2.07223e+01  2.63340e-01  2.55340e-01  2.31340e-01  2.30340e-01  2.28340e-01
2024  02  09  0015  60349    900  2.05870e+01  2.79007e-01  2.71007e-01  2.24007e-01  2.09007e-01  2.01007e-01
2024  02  09  0020  60349   1200  1.93990e+01  3.36007e-01  3.02007e-01  2.13007e-01  2.07007e-01  2.06007e-01
2024  02  09  0025  60349   1500  1.98233e+01  2.98340e-01  2.74340e-01  2.06340e-01  2.02340e-01  2.00340e-01
2024  02  09  0030  60349   1800  1.84903e+01  2.37339e-01  2.29339e-01  1.94339e-01  1.90339e-01  1.86339e-01
2024  02  09  0035  60349   2100  1.80653e+01  2.41340e-01  2.26340e-01  1.94340e-01  1.93340e-01  1.88340e-01
2024  02  09  0040  60349   2400  1.60540e+01  2.37005e-01  2.10005e-01  1.93005e-01  1.90005e-01  1.87005e-01
2024  02  09  0045  60349   2700  1.55723e+01  2.07339e-01  1.99339e-01  1.90339e-01  1.89339e-01  1.80339e-01
2024  02  09  0050  60349   3000  1.55207e+01  1.94672e-01  1.86672e-01  1.77673e-01  1.73672e-01  1.73672e-01
2024  02  09  0055  60349   3300  1.53043e+01  2.28340e-01  2.20340e-01  1.94340e-01  1.91340e-01  1.86340e-01
2024  02  09  0100  60349   3600  1.57087e+01  2.79675e-01  2.64675e-01  2.42675e-01  2.41675e-01  2.34675e-01
2024  02  09  0105  60349   3900  1.58777e+01  2.71673e-01  2.62673e-01  1.99673e-01  1.92673e-01  1.92673e-01
2024  02  09  0110  60349   4200  1.36353e+01  2.15340e-01  2.07340e-01  1.98340e-01  1.95340e-01  1.88340e-01
2024  02  09  0115  60349   4500  1.46907e+01  2.47673e-01  2.39673e-01  1.97673e-01  1.94673e-01  1.93673e-01
2024  02  09  0120  60349   4800  1.48340e+01  2.15006e-01  2.07006e-01  1.88006e-01  1.87006e-01  1.85006e-01
2024  02  09  0125  60349   5100  1.41967e+01  2.82674e-01  2.74674e-01  2.59674e-01  2.58674e-01  2.57674e-01
2024  02  09  0130  60349   5400  1.46777e+01  2.31673e-01  2.23673e-01  2.09673e-01  1.98673e-01  1.92673e-01
2024  02  09  0135  60349   5700  1.61857e+01  2.26672e-01  2.12672e-01  1.90672e-01  1.72672e-01  1.65672e-01
2024  02  09  0140  60349   6000  1.55390e+01  2.85007e-01  2.71007e-01  2.23007e-01  2.21007e-01  2.12007e-01
2024  02  09  0145  60349   6300  1.56137e+01  2.48673e-01  2.34673e-01  1.86673e-01  1.82673e-01  1.73673e-01
2024  02  09  0150  60349   6600  1.50343e+01  3.07338e-01  2.60338e-01  1.80338e-01  1.63338e-01  1.53338e-01
2024  02  09  0155  60349   6900  1.30077e+01  2.62673e-01  2.29673e-01  2.11673e-01  2.08673e-01  2.07673e-01
2024  02  09  0200  60349   7200  1.35750e+01  2.25007e-01  2.17007e-01  2.09007e-01  2.06007e-01  2.00007e-01
2024  02  09  0205  60349   7500  1.29863e+01  2.34340e-01  2.27340e-01  2.18340e-01  2.15340e-01  2.04340e-01
2024  02  09  0210  60349   7800  1.45663e+01  2.31339e-01  2.17339e-01  1.88339e-01  1.85339e-01  1.83339e-01
2024  02  09  0215  60349   8100  1.31787e+01  2.19673e-01  2.05673e-01  1.83673e-01  1.82673e-01  1.82673e-01
2024  02  09  0220  60349   8400  1.30740e+01  2.21006e-01  2.14006e-01  1.76006e-01  1.72006e-01  1.71006e-01
2024  02  09  0225  60349   8700  1.21107e+01  2.44674e-01  2.36674e-01  2.13674e-01  2.12674e-01  2.07674e-01
2024  02  09  0230  60349   9000  1.05973e+01  2.46340e-01  2.14340e-01  1.96340e-01  1.93340e-01  1.92340e-01
2024  02  09  0235  60349   9300  1.11823e+01  2.68340e-01  2.54340e-01  2.16341e-01  2.13341e-01  2.08341e-01
2024  02  09  0240  60349   9600  1.10450e+01  2.38007e-01  2.31007e-01  2.05007e-01  2.02007e-01  1.95007e-01
2024  02  09  0245  60349   9900  1.02367e+01  2.40673e-01  2.14673e-01  1.98673e-01  1.95673e-01  1.90673e-01
2024  02  09  0250  60349  10200  1.09760e+01  2.76006e-01  2.52006e-01  2.10006e-01  2.00006e-01  1.92006e-01
2024  02  09  0255  60349  10500  9.69267e+00  2.25673e-01  2.12673e-01  1.90673e-01  1.89673e-01  1.88673e-01
2024  02  09  0300  60349  10800  1.00143e+01  2.31340e-01  2.17340e-01  1.89340e-01  1.86340e-01  1.84340e-01
2024  02  09  0305  60349  11100  9.53201e+00  2.77008e-01  2.51008e-01  2.34008e-01  2.27008e-01  2.25008e-01
2024  02  09  0310  60349  11400  1.03837e+01  2.13673e-01  2.06673e-01  1.97673e-01  1.94673e-01  1.88673e-01
2024  02  09  0315  60349  11700  1.01473e+01  2.60340e-01  2.24340e-01  1.91340e-01  1.89340e-01  1.84340e-01
2024  02  09  0320  60349  12000  9.04167e+00  2.45674e-01  2.38674e-01  2.30674e-01  2.27674e-01  2.26674e-01
2024  02  09  0325  60349  12300  9.92901e+00  1.83006e-01  1.76006e-01  1.67006e-01  1.60006e-01  1.59006e-01
2024  02  09  0330  60349  12600  8.59667e+00  1.89672e-01  1.82672e-01  1.73672e-01  1.70672e-01  1.69672e-01
2024  02  09  0335  60349  12900  8.88701e+00  2.34006e-01  2.21006e-01  1.93006e-01  1.90006e-01  1.88006e-01
2024  02  09  0340  60349  13200  8.98667e+00  2.63673e-01  2.28673e-01  1.94673e-01  1.93673e-01  1.92673e-01
2024  02  09  0345  60349  13500  8.65534e+00  2.50340e-01  2.18340e-01  2.01340e-01  1.98340e-01  1.96340e-01
2024  02  09  0350  60349  13800  7.61934e+00  2.70340e-01  2.35340e-01  2.01340e-01  1.98340e-01  1.96340e-01
2024  02  09  0355  60349  14100  7.81001e+00  2.50006e-01  2.26006e-01  1.85006e-01  1.84006e-01  1.83006e-01
2024  02  09  0400  60349  14400  8.53567e+00  2.36672e-01  2.22672e-01  1.71672e-01  1.71672e-01  1.70672e-01
2024  02  09  0405  60349  14700  7.46634e+00  2.24340e-01  2.16340e-01  2.02340e-01  2.00340e-01  1.95340e-01
2024  02  09  0410  60349  15000  6.61534e+00  2.18339e-01  2.11339e-01  2.03339e-01  2.02339e-01  1.96339e-01
2024  02  09  0415  60349  15300  7.27901e+00  2.48006e-01  2.34006e-01  2.13006e-01  2.06006e-01  2.05006e-01
2024  02  09  0420  60349  15600  7.34967e+00  2.83674e-01  2.52674e-01  2.34674e-01  2.27674e-01  2.27674e-01
2024  02  09  0425  60349  15900  6.48301e+00  2.63006e-01  2.56006e-01  2.21006e-01  1.98006e-01  1.92006e-01
2024  02  09  0430  60349  16200  7.92267e+00  2.59672e-01  2.17672e-01  1.82672e-01  1.80672e-01  1.69672e-01
2024  02  09  0435  60349  16500  6.37567e+00  2.62672e-01  2.39672e-01  1.97672e-01  1.94672e-01  1.90672e-01
2024  02  09  0440  60349  16800  6.50567e+00  2.16672e-01  1.84672e-01  1.67672e-01  1.64672e-01  1.61672e-01
2024  02  09  0445  60349  17100  6.30767e+00  3.00673e-01  2.68673e-01  1.97673e-01  1.95673e-01  1.94673e-01
2024  02  09  0450  60349  17400  5.77867e+00  2.29674e-01  2.21674e-01  2.13674e-01  2.10674e-01  2.04674e-01
2024  02  09  0455  60349  17700  5.56234e+00  2.24339e-01  1.92339e-01  1.75339e-01  1.74339e-01  1.72339e-01
2024  02  09  0500  60349  18000  5.23134e+00  2.45340e-01  2.38340e-01  2.23340e-01  2.20340e-01  1.96340e-01
2024  02  09  0505  60349  18300  5.15667e+00  2.05673e-01  1.98673e-01  1.83673e-01  1.80673e-01  1.79673e-01
2024  02  09  0510  60349  18600  5.82634e+00  2.42339e-01  2.28339e-01  2.00339e-01  1.93339e-01  1.93339e-01
2024  02  09  0515  60349  18900  5.35834e+00  2.32339e-01  2.24339e-01  1.65339e-01  1.61339e-01  1.60339e-01
2024  02  09  0520  60349  19200  6.24101e+00  3.05006e-01  2.73006e-01  2.02006e-01  2.00006e-01  1.77006e-01
2024  02  09  0525  60349  19500  5.49567e+00  2.98673e-01  2.53673e-01  2.18673e-01  2.14673e-01  2.09673e-01
2024  02  09  0530  60349  19800  6.10834e+00  2.42339e-01  2.04339e-01  1.85339e-01  1.84339e-01  1.76339e-01
2024  02  09  0535  60349  20100  5.81267e+00  3.33674e-01  3.00674e-01  2.27674e-01  2.24674e-01  2.10674e-01
2024  02  09  0540  60349  20400  6.21467e+00  2.43673e-01  2.35673e-01  2.10673e-01  2.07673e-01  2.06673e-01
2024  02  09  0545  60349  20700  5.25334e+00  2.68339e-01  2.54339e-01  1.96339e-01  1.92339e-01  1.92339e-01
2024  02  09  0550  60349  21000  5.11967e+00  2.40672e-01  2.32672e-01  1.80672e-01  1.77672e-01  1.77672e-01
2024  02  09  0555  60349  21300  5.29201e+00  3.06007e-01  2.83007e-01  2.15007e-01  2.09007e-01  2.08007e-01
2024  02  09  0600  60349  21600  4.43367e+00  2.87673e-01  2.25673e-01  2.03673e-01  1.90673e-01  1.77673e-01
2024  02  09  0605  60349  21900  4.85501e+00  2.57006e-01  2.25006e-01  2.07006e-01  2.06006e-01  1.79006e-01
2024  02  09  0610  60349  22200  5.29167e+00  2.71673e-01  2.48673e-01  1.80673e-01  1.78673e-01  1.77673e-01
2024  02  09  0615  60349  22500  5.50534e+00  3.09340e-01  2.85340e-01  2.37340e-01  2.34340e-01  2.28340e-01
2024  02  09  0620  60349  22800  5.04267e+00  2.68673e-01  2.54673e-01  2.07673e-01  2.05673e-01  2.03673e-01
2024  02  09  0625  60349  23100  5.42101e+00  2.60005e-01  2.16005e-01  1.96005e-01  1.95005e-01  1.90005e-01
2024  02  09  0630  60349  23400  5.51201e+00  2.10006e-01  2.02006e-01  1.94006e-01  1.93006e-01  1.92006e-01
